TotalGames,Wins,Losses,Grass wins,Grass losses,Clay wins,Clay losses,Hard wins,Hard losses,Indoors wins,Indoors losses,Other wins,Other losses,Player
26,0.4230769230769231,0.5769230769230769,0.0,0.07692307692307693,0.0,0.38461538461538464,0.038461538461538464,0.07692307692307693,0.0,0,0.0,0.0,Pfizenmaier Dinah
27,0.5185185185185185,0.48148148148148145,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0,0.0,0.0,Bedene Aljaz
41,0.5609756097560976,0.43902439024390244,0.07317073170731707,0.07317073170731707,0.12195121951219512,0.14634146341463414,0.24390243902439024,0.17073170731707318,0.0,0,0.0,0.0,Kuznetsov Alex
36,0.6111111111111112,0.3888888888888889,0.1111111111111111,0.08333333333333333,0.1388888888888889,0.1111111111111111,0.2222222222222222,0.1388888888888889,0.0,0,0.027777777777777776,0.027777777777777776,Giorgi Camila
21,0.6666666666666666,0.3333333333333333,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.14285714285714285,0.19047619047619047,0.09523809523809523,0.0,0,0.0,0.0,Konjuh Ana
26,0.5,0.5,0.038461538461538464,0.07692307692307693,0.4230769230769231,0.2692307692307692,0.0,0.11538461538461539,0.0,0,0.038461538461538464,0.038461538461538464,Berlocq Carlos
39,0.5384615384615384,0.46153846153846156,0.02564102564102564,0.07692307692307693,0.23076923076923078,0.20512820512820512,0.23076923076923078,0.1282051282051282,0.0,0,0.02564102564102564,0.02564102564102564,Lajovic Dusan
40,0.625,0.375,0.1,0.075,0.2,0.175,0.3,0.125,0.0,0,0.025,0.0,Falla Alejandro
33,0.6060606060606061,0.3939393939393939,0.3333333333333333,0.09090909090909091,0.030303030303030304,0.06060606060606061,0.24242424242424243,0.21212121212121213,0.0,0,0.0,0.0,Vandeweghe Coco
30,0.5333333333333333,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.2,0.13333333333333333,0.0,0,0.0,0.0,Evans Daniel
21,0.47619047619047616,0.5238095238095238,0.14285714285714285,0.14285714285714285,0.047619047619047616,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.0,0,0.0,0.0,Tomic Bernard
44,0.6136363636363636,0.38636363636363635,0.20454545454545456,0.045454545454545456,0.1590909090909091,0.1590909090909091,0.20454545454545456,0.11363636363636363,0.0,0,0.0,0.022727272727272728,Zahlavova Strycova Barbora
28,0.5357142857142857,0.4642857142857143,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.39285714285714285,0.25,0.0,0,0.07142857142857142,0.07142857142857142,Vekic Donna
37,0.6756756756756757,0.32432432432432434,0.16216216216216217,0.05405405405405406,0.0,0.0,0.43243243243243246,0.21621621621621623,0.0,0,0.0,0.0,Wang Jimmy
54,0.7407407407407407,0.25925925925925924,0.24074074074074073,0.05555555555555555,0.14814814814814814,0.07407407407407407,0.05555555555555555,0.05555555555555555,0.0,0,0.05555555555555555,0.0,Kontaveit Anett
37,0.5675675675675675,0.43243243243243246,0.0,0.05405405405405406,0.21621621621621623,0.13513513513513514,0.10810810810810811,0.1891891891891892,0.0,0,0.08108108108108109,0.02702702702702703,Golubev Andrey
55,0.7636363636363637,0.23636363636363636,0.03636363636363636,0.07272727272727272,0.0,0.0,0.18181818181818182,0.07272727272727272,0.0,0,0.0,0.0,Smethurst Daniel
28,0.5,0.5,0.07142857142857142,0.07142857142857142,0.25,0.21428571428571427,0.14285714285714285,0.21428571428571427,0.0,0,0.03571428571428571,0.0,Vesnina Elena
31,0.45161290322580644,0.5483870967741935,0.06451612903225806,0.0967741935483871,0.12903225806451613,0.0967741935483871,0.25806451612903225,0.22580645161290322,0.0,0,0.0,0.0967741935483871,Doi Misaki
44,0.5681818181818182,0.4318181818181818,0.13636363636363635,0.06818181818181818,0.20454545454545456,0.13636363636363635,0.1590909090909091,0.1590909090909091,0.0,0,0.022727272727272728,0.022727272727272728,Istomin Denis
25,0.68,0.32,0.08,0.04,0.16,0.12,0.44,0.16,0.0,0,0.0,0.0,Williams Venus
23,0.4782608695652174,0.5217391304347826,0.0,0.043478260869565216,0.43478260869565216,0.34782608695652173,0.043478260869565216,0.08695652173913043,0.0,0,0.0,0.0,Oprandi Romina
34,0.6176470588235294,0.38235294117647056,0.08823529411764706,0.029411764705882353,0.0,0.3235294117647059,0.029411764705882353,0.029411764705882353,0.0,0,0.0,0.0,Mayer Leonardo
32,0.71875,0.28125,0.34375,0.03125,0.34375,0.09375,0.03125,0.0625,0.0,0,0.0,0.0625,Kyrgios Nick
51,0.7647058823529411,0.23529411764705882,0.0196078431372549,0.0392156862745098,0.6274509803921569,0.11764705882352941,0.09803921568627451,0.0784313725490196,0.0,0,0.0196078431372549,0.0,Begu Irina
25,0.52,0.48,0.08,0.08,0.04,0.16,0.36,0.16,0.0,0,0.0,0.04,Hewitt Lleyton
23,0.21739130434782608,0.782608695652174,0.043478260869565216,0.13043478260869565,0.0,0.21739130434782608,0.17391304347826086,0.391304347826087,0.0,0,0.0,0.0,Ebden Matthew
38,0.5789473684210527,0.42105263157894735,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.18421052631578946,0.34210526315789475,0.18421052631578946,0.0,0,0.0,0.0,Kudryavtseva Alla
31,0.41935483870967744,0.5806451612903226,0.03225806451612903,0.06451612903225806,0.0,0.3870967741935484,0.0967741935483871,0.12903225806451613,0.0,0,0.0,0.0,Granollers-Pujol Marcel
48,0.7083333333333334,0.2916666666666667,0.14583333333333334,0.020833333333333332,0.125,0.10416666666666667,0.3333333333333333,0.14583333333333334,0.0,0,0.08333333333333333,0.0,Kerber Angelique
51,0.7843137254901961,0.21568627450980393,0.13725490196078433,0.0196078431372549,0.2549019607843137,0.0784313725490196,0.37254901960784315,0.09803921568627451,0.0,0,0.0196078431372549,0.0196078431372549,Ivanovic Ana
37,0.6756756756756757,0.32432432432432434,0.08108108108108109,0.05405405405405406,0.43243243243243246,0.16216216216216217,0.13513513513513514,0.08108108108108109,0.0,0,0.02702702702702703,0.02702702702702703,Dancevic Frank
31,0.45161290322580644,0.5483870967741935,0.0,0.06451612903225806,0.2903225806451613,0.1935483870967742,0.16129032258064516,0.22580645161290322,0.0,0,0.0,0.06451612903225806,Cepelova Jana
46,0.6304347826086957,0.3695652173913043,0.10869565217391304,0.043478260869565216,0.0,0.021739130434782608,0.3695652173913043,0.2391304347826087,0.0,0,0.0,0.021739130434782608,Ito Tatsuma
34,0.5294117647058824,0.47058823529411764,0.058823529411764705,0.08823529411764706,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.14705882352941177,0.0,0,0.029411764705882353,0.029411764705882353,Benneteau Julien
30,0.43333333333333335,0.5666666666666667,0.06666666666666667,0.1,0.06666666666666667,0.13333333333333333,0.23333333333333334,0.23333333333333334,0.0,0,0.06666666666666667,0.06666666666666667,Wickmayer Yanina
39,0.5897435897435898,0.41025641025641024,0.02564102564102564,0.02564102564102564,0.0,0.3333333333333333,0.0,0.0,0.0,0,0.02564102564102564,0.02564102564102564,Haider-Maurer Andreas
32,0.53125,0.46875,0.09375,0.0625,0.1875,0.1875,0.25,0.21875,0.0,0,0.0,0.0,Peng Shuai
37,0.5675675675675675,0.43243243243243246,0.16216216216216217,0.05405405405405406,0.02702702702702703,0.16216216216216217,0.1891891891891892,0.16216216216216217,0.0,0,0.0,0.0,Herbert Pierre-Hugues
41,0.5853658536585366,0.4146341463414634,0.04878048780487805,0.0975609756097561,0.2682926829268293,0.14634146341463414,0.12195121951219512,0.0975609756097561,0.0,0,0.024390243902439025,0.024390243902439025,Estrella Victor
28,0.39285714285714285,0.6071428571428571,0.0,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.25,0.21428571428571427,0.0,0,0.0,0.07142857142857142,Piter Katarzyna
36,0.4722222222222222,0.5277777777777778,0.0,0.08333333333333333,0.2222222222222222,0.25,0.1111111111111111,0.16666666666666666,0.0,0,0.1388888888888889,0.027777777777777776,Pereira Teliana
32,0.3125,0.6875,0.0625,0.09375,0.125,0.25,0.0625,0.21875,0.0,0,0.03125,0.09375,Kukushkin Mikhail
34,0.7058823529411765,0.29411764705882354,0.17647058823529413,0.029411764705882353,0.08823529411764706,0.11764705882352941,0.38235294117647056,0.14705882352941177,0.0,0,0.058823529411764705,0.0,Makarova Ekaterina
37,0.5135135135135135,0.4864864864864865,0.0,0.02702702702702703,0.0,0.32432432432432434,0.0,0.13513513513513514,0.0,0,0.0,0.0,Carreno-Busta Pablo
32,0.375,0.625,0.0625,0.0625,0.28125,0.28125,0.03125,0.1875,0.0,0,0.0,0.09375,Glushko Julia
41,0.5853658536585366,0.4146341463414634,0.0,0.024390243902439025,0.0,0.2682926829268293,0.12195121951219512,0.0975609756097561,0.0,0,0.0,0.0,Kiick Alexandra
38,0.5789473684210527,0.42105263157894735,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.18421052631578946,0.15789473684210525,0.0,0,0.07894736842105263,0.02631578947368421,Svitolina Elina
36,0.6111111111111112,0.3888888888888889,0.05555555555555555,0.08333333333333333,0.16666666666666666,0.1388888888888889,0.3611111111111111,0.1388888888888889,0.0,0,0.0,0.0,Isner John
43,0.6511627906976745,0.3488372093023256,0.0,0.09302325581395349,0.23255813953488372,0.09302325581395349,0.3488372093023256,0.11627906976744186,0.0,0,0.0,0.023255813953488372,Thiem Dominic
30,0.4666666666666667,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.26666666666666666,0.3,0.16666666666666666,0.2,0.0,0,0.0,0.0,Scheepers Chanelle
39,0.6153846153846154,0.38461538461538464,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.05128205128205128,0.28205128205128205,0.15384615384615385,0.0,0,0.0,0.0,Cox Daniel
25,0.36,0.64,0.0,0.04,0.12,0.24,0.12,0.32,0.0,0,0.08,0.0,Knapp Karin
38,0.6842105263157895,0.3157894736842105,0.13157894736842105,0.05263157894736842,0.2894736842105263,0.13157894736842105,0.21052631578947367,0.07894736842105263,0.0,0,0.0,0.0,Raonic Milos
48,0.5625,0.4375,0.125,0.0625,0.10416666666666667,0.1875,0.25,0.125,0.0,0,0.020833333333333332,0.020833333333333332,Koukalova Klara
40,0.575,0.425,0.0,0.075,0.15,0.15,0.325,0.15,0.0,0,0.0,0.0,Donskoy Evgeny
31,0.45161290322580644,0.5483870967741935,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.2903225806451613,0.3548387096774194,0.0,0,0.0,0.0,Hsieh Su-Wei
31,0.6129032258064516,0.3870967741935484,0.22580645161290322,0.0967741935483871,0.25806451612903225,0.16129032258064516,0.12903225806451613,0.12903225806451613,0.0,0,0.0,0.0,Duckworth James
35,0.5428571428571428,0.45714285714285713,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.17142857142857143,0.2,0.14285714285714285,0.0,0,0.02857142857142857,0.02857142857142857,Stephens Sloane A.
35,0.6285714285714286,0.37142857142857144,0.05714285714285714,0.08571428571428572,0.14285714285714285,0.11428571428571428,0.34285714285714286,0.14285714285714285,0.0,0,0.0,0.0,Fichman Sharon
36,0.4166666666666667,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.0,0.2777777777777778,0.1111111111111111,0.16666666666666666,0.0,0,0.027777777777777776,0.027777777777777776,Sousa Joao
45,0.6,0.4,0.08888888888888889,0.044444444444444446,0.08888888888888889,0.08888888888888889,0.2,0.13333333333333333,0.0,0,0.022222222222222223,0.044444444444444446,Cornet Alize
30,0.5,0.5,0.03333333333333333,0.1,0.23333333333333334,0.16666666666666666,0.2,0.13333333333333333,0.0,0,0.03333333333333333,0.1,Nara Kurumi
36,0.4444444444444444,0.5555555555555556,0.027777777777777776,0.1111111111111111,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0,0.027777777777777776,0.05555555555555555,Ward James
32,0.625,0.375,0.09375,0.0,0.34375,0.28125,0.1875,0.09375,0.0,0,0.0,0.0,Robredo Tommy
52,0.6730769230769231,0.3269230769230769,0.07692307692307693,0.07692307692307693,0.11538461538461539,0.07692307692307693,0.38461538461538464,0.17307692307692307,0.0,0,0.0,0.0,Johnson Steve
42,0.6666666666666666,0.3333333333333333,0.21428571428571427,0.07142857142857142,0.09523809523809523,0.11904761904761904,0.30952380952380953,0.11904761904761904,0.0,0,0.0,0.0,Davis Lauren
25,0.4,0.6,0.0,0.04,0.2,0.2,0.12,0.24,0.0,0,0.04,0.04,Martic Petra
27,0.3333333333333333,0.6666666666666666,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.0,0,0.0,0.07407407407407407,Jovanovski Bojana
31,0.6451612903225806,0.3548387096774194,0.0967741935483871,0.06451612903225806,0.2903225806451613,0.16129032258064516,0.1935483870967742,0.0967741935483871,0.0,0,0.0,0.0,Cetkovská Petra
29,0.5172413793103449,0.4827586206896552,0.10344827586206896,0.034482758620689655,0.20689655172413793,0.06896551724137931,0.13793103448275862,0.1724137931034483,0.0,0,0.0,0.0,Kravchuk Konstantin
33,0.48484848484848486,0.5151515151515151,0.0,0.06060606060606061,0.0,0.30303030303030304,0.030303030303030304,0.15151515151515152,0.0,0,0.0,0.0,Delbonis Federico
44,0.7045454545454546,0.29545454545454547,0.18181818181818182,0.11363636363636363,0.0,0.0,0.4318181818181818,0.11363636363636363,0.0,0,0.0,0.0,Broady Naomi
36,0.5277777777777778,0.4722222222222222,0.027777777777777776,0.08333333333333333,0.19444444444444445,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.0,Karlovic Ivo
39,0.6153846153846154,0.38461538461538464,0.20512820512820512,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.2564102564102564,0.15384615384615385,0.0,0,0.02564102564102564,0.05128205128205128,Keys Madison
33,0.42424242424242425,0.5757575757575758,0.030303030303030304,0.09090909090909091,0.24242424242424243,0.18181818181818182,0.12121212121212122,0.2727272727272727,0.0,0,0.0,0.0,Mladenovic Kristina
29,0.5862068965517241,0.41379310344827586,0.06896551724137931,0.06896551724137931,0.3103448275862069,0.13793103448275862,0.20689655172413793,0.1724137931034483,0.0,0,0.0,0.0,Verdasco Fernando
20,0.45,0.55,0.0,0.05,0.1,0.2,0.35,0.3,0.0,0,0.0,0.0,Kleybanova Alisa
31,0.5161290322580645,0.4838709677419355,0.0,0.03225806451612903,0.12903225806451613,0.12903225806451613,0.3548387096774194,0.25806451612903225,0.0,0,0.03225806451612903,0.0,Niculescu Monica
40,0.625,0.375,0.1,0.025,0.2,0.2,0.325,0.15,0.0,0,0.0,0.0,Dolgopolov Aleksandr
38,0.631578947368421,0.3684210526315789,0.07894736842105263,0.05263157894736842,0.3684210526315789,0.13157894736842105,0.07894736842105263,0.15789473684210525,0.0,0,0.05263157894736842,0.0,Petkovic Andrea
49,0.7551020408163265,0.24489795918367346,0.08163265306122448,0.04081632653061224,0.22448979591836735,0.10204081632653061,0.30612244897959184,0.10204081632653061,0.0,0,0.04081632653061224,0.0,Berdych Tomas
38,0.5526315789473685,0.4473684210526316,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.18421052631578946,0.0,0,0.0,0.0,Beck Annika
33,0.696969696969697,0.30303030303030304,0.06060606060606061,0.06060606060606061,0.21212121212121213,0.09090909090909091,0.21212121212121213,0.12121212121212122,0.0,0,0.06060606060606061,0.0,Monfils Gael
35,0.7142857142857143,0.2857142857142857,0.17142857142857143,0.0,0.14285714285714285,0.11428571428571428,0.2571428571428571,0.17142857142857143,0.0,0,0.05714285714285714,0.0,Kvitova Petra
40,0.575,0.425,0.075,0.075,0.2,0.125,0.2,0.175,0.0,0,0.025,0.025,Goffin David
32,0.59375,0.40625,0.0,0.0625,0.0625,0.125,0.5,0.1875,0.0,0,0.0,0.0,Pironkova Tsvetana
37,0.5405405405405406,0.4594594594594595,0.0,0.02702702702702703,0.24324324324324326,0.24324324324324326,0.2972972972972973,0.1891891891891892,0.0,0,0.0,0.0,Robert Stephane
36,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.3055555555555556,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.0,0,0.08333333333333333,0.027777777777777776,Larcher de Brito Michelle
29,0.3448275862068966,0.6551724137931034,0.0,0.06896551724137931,0.10344827586206896,0.3103448275862069,0.2413793103448276,0.2413793103448276,0.0,0,0.0,0.0,Nedovyesov Aleksandr
35,0.6,0.4,0.05714285714285714,0.08571428571428572,0.3142857142857143,0.11428571428571428,0.17142857142857143,0.17142857142857143,0.0,0,0.05714285714285714,0.0,Garcia Caroline
48,0.6666666666666666,0.3333333333333333,0.0625,0.0625,0.3541666666666667,0.16666666666666666,0.22916666666666666,0.10416666666666667,0.0,0,0.020833333333333332,0.0,Rola Blaz
22,0.5454545454545454,0.45454545454545453,0.045454545454545456,0.09090909090909091,0.3181818181818182,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.0,0,0.0,0.0,Tatishvili Anna
37,0.5945945945945946,0.40540540540540543,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.40540540540540543,0.21621621621621623,0.0,0,0.0,0.0,Sugita Yuichi
27,0.6296296296296297,0.37037037037037035,0.1111111111111111,0.037037037037037035,0.48148148148148145,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.0,0,0.0,0.0,Mitu Cristina-Andreea
36,0.5277777777777778,0.4722222222222222,0.16666666666666666,0.08333333333333333,0.19444444444444445,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.0,0,0.0,0.05555555555555555,Querrey Sam
34,0.6764705882352942,0.3235294117647059,0.14705882352941177,0.058823529411764705,0.14705882352941177,0.08823529411764706,0.35294117647058826,0.14705882352941177,0.0,0,0.029411764705882353,0.029411764705882353,Dell-Acqua Casey
27,0.37037037037037035,0.6296296296296297,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.18518518518518517,0.0,0,0.0,0.0,Mahut Nicolas
39,0.5128205128205128,0.48717948717948717,0.1282051282051282,0.07692307692307693,0.2564102564102564,0.1794871794871795,0.1282051282051282,0.1794871794871795,0.0,0,0.0,0.0,Barthel Mona
43,0.6046511627906976,0.3953488372093023,0.13953488372093023,0.06976744186046512,0.06976744186046512,0.13953488372093023,0.27906976744186046,0.13953488372093023,0.0,0,0.0,0.0,Kudla Denis
36,0.6388888888888888,0.3611111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1388888888888889,0.0,0,0.0,0.0,Pennetta Flavia
35,0.45714285714285713,0.5428571428571428,0.14285714285714285,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.17142857142857143,0.2,0.0,0,0.0,0.0,Mannarino Adrian
27,0.48148148148148145,0.5185185185185185,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.2962962962962963,0.0,0,0.1111111111111111,0.0,Kanepi Kaia
37,0.5405405405405406,0.4594594594594595,0.02702702702702703,0.05405405405405406,0.2702702702702703,0.1891891891891892,0.08108108108108109,0.16216216216216217,0.0,0,0.08108108108108109,0.02702702702702703,Larsson Johanna
43,0.6046511627906976,0.3953488372093023,0.11627906976744186,0.046511627906976744,0.13953488372093023,0.13953488372093023,0.16279069767441862,0.09302325581395349,0.0,0,0.0,0.0,Pavic Ante
39,0.48717948717948717,0.5128205128205128,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.1794871794871795,0.1282051282051282,0.1282051282051282,0.0,0,0.0,0.0,de Schepper Kenny
34,0.5,0.5,0.08823529411764706,0.08823529411764706,0.14705882352941177,0.08823529411764706,0.20588235294117646,0.2647058823529412,0.0,0,0.058823529411764705,0.029411764705882353,Babos Timea
40,0.675,0.325,0.15,0.075,0.275,0.125,0.175,0.1,0.0,0,0.075,0.025,Bencic Belinda
46,0.6521739130434783,0.34782608695652173,0.043478260869565216,0.08695652173913043,0.3695652173913043,0.17391304347826086,0.15217391304347827,0.08695652173913043,0.0,0,0.08695652173913043,0.0,Fognini Fabio
25,0.56,0.44,0.0,0.12,0.0,0.08,0.56,0.24,0.0,0,0.0,0.0,Klahn Bradley
51,0.7058823529411765,0.29411764705882354,0.0392156862745098,0.0392156862745098,0.29411764705882354,0.0784313725490196,0.2549019607843137,0.13725490196078433,0.0,0,0.0392156862745098,0.0,Suarez-Navarro Carla
32,0.53125,0.46875,0.0625,0.0625,0.1875,0.1875,0.125,0.15625,0.0,0,0.09375,0.03125,Govortsova Olga
37,0.5135135135135135,0.4864864864864865,0.10810810810810811,0.08108108108108109,0.10810810810810811,0.16216216216216217,0.13513513513513514,0.16216216216216217,0.0,0,0.08108108108108109,0.02702702702702703,Nieminen Jarkko
36,0.6388888888888888,0.3611111111111111,0.1388888888888889,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3611111111111111,0.1111111111111111,0.0,0,0.0,0.0,Hernych Jan
40,0.475,0.525,0.05,0.05,0.15,0.15,0.175,0.2,0.0,0,0.025,0.075,Meusburger Yvonne
28,0.4642857142857143,0.5357142857142857,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.17857142857142858,0.07142857142857142,0.14285714285714285,0.0,0,0.07142857142857142,0.07142857142857142,Janowicz Jerzy
23,0.34782608695652173,0.6521739130434783,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.17391304347826086,0.34782608695652173,0.0,0,0.0,0.0,Hlavackova Andrea
26,0.4230769230769231,0.5769230769230769,0.0,0.038461538461538464,0.07692307692307693,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.0,0,0.15384615384615385,0.038461538461538464,Cirstea Sorana-Mihaela
28,0.42857142857142855,0.5714285714285714,0.0,0.07142857142857142,0.25,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0,0,0.0,0.07142857142857142,Hanescu Victor
43,0.6511627906976745,0.3488372093023256,0.20930232558139536,0.046511627906976744,0.0,0.046511627906976744,0.2558139534883721,0.16279069767441862,0.0,0,0.0,0.0,Pliskova Kristyna
36,0.5833333333333334,0.4166666666666667,0.027777777777777776,0.08333333333333333,0.2777777777777778,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0,0.0,0.0,Mathieu Paul-Henri
38,0.5526315789473685,0.4473684210526316,0.05263157894736842,0.05263157894736842,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.0,0,0.0,0.0,Brown Dustin
45,0.6666666666666666,0.3333333333333333,0.0,0.044444444444444446,0.35555555555555557,0.13333333333333333,0.3111111111111111,0.15555555555555556,0.0,0,0.0,0.0,Jankovic Jelena
40,0.85,0.15,0.075,0.0,0.475,0.025,0.25,0.1,0.0,0,0.0,0.0,Sharapova Maria
38,0.5526315789473685,0.4473684210526316,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.2894736842105263,0.21052631578947367,0.0,0,0.0,0.0,Jaziri Malek
